,CVE_CLPV
18,1965.0
22,1965.0
65,1240.0
71,1965.0
72,1965.0
78,1020.0
79,1020.0
114,1125.0
116,1125.0
135,1965.0
160,1158.0
168,1478.0
182,1852.0
185,1703.0
186,1965.0
210,1125.0
256,1586.0
263,1020.0
299,1083.0
305,1703.0
323,1965.0
343,1083.0
348,1429.0
353,1965.0
364,1429.0
368,1053.0
386,1159.0
387,1159.0
388,1159.0
411,1852.0
417,1852.0
434,1852.0
490,1686.0
496,1686.0
518,1583.0
522,1757.0
523,1757.0
528,1429.0
572,1158.0
576,1125.0
578,1019.0
606,1586.0
643,1334.0
663,1284.0
671,1757.0
676,1459.0
678,1248.0
708,1965.0
750,1478.0
753,1130.0
792,1668.0
793,1284.0
803,1965.0
845,1819.0
863,1339.0
875,1248.0
883,1965.0
891,1753.0
930,1020.0
934,1925.0
941,1289.0
944,1369.0
980,1925.0
981,1487.0
997,1019.0
1019,1965.0
1054,1852.0
1084,1290.0
1085,1284.0
1093,1284.0
1120,1339.0
1121,1289.0
1133,1339.0
1137,1852.0
1164,1240.0
1200,1339.0
1201,1339.0
1212,1020.0
1219,1784.0
1284,1289.0
1299,1965.0
1311,1289.0
1357,1339.0
1359,1089.0
1374,1339.0
1389,1158.0
1392,1429.0
1514,1130.0
1531,1586.0
1545,1158.0
1551,1334.0
1570,1083.0
1610,1965.0
1623,1965.0
1634,1158.0
1647,1586.0
1650,1478.0
1653,1965.0
1654,1965.0
1667,1125.0
1679,1083.0
1692,1852.0
1724,1965.0
1739,1289.0
1769,1130.0
1773,1130.0
1807,1852.0
1808,1852.0
1825,1583.0
1847,1130.0
1878,1583.0
1882,1130.0
1883,1130.0
1895,1784.0
1957,1965.0
1975,1198.0
1976,1339.0
1986,1913.0
2010,1852.0
2017,1429.0
2018,1429.0
2064,1583.0
2115,1429.0
2207,1965.0
2210,1053.0
2230,1852.0
2281,1965.0
2311,1583.0
2312,1583.0
2313,1583.0
2314,1925.0
2328,1453.0
2333,1289.0
2349,1019.0
2375,1369.0
2409,1852.0
2422,1784.0
2460,1753.0
2471,1339.0
2482,1591.0
2496,1965.0
2508,1019.0
2517,1965.0
2518,1965.0
2519,1591.0
2521,1761.0
2571,1761.0
2638,1965.0
2669,1757.0
2671,1290.0
2697,1390.0
2733,1459.0
2771,1831.0
2778,1390.0
2824,1289.0
2837,1982.0
2871,1583.0
2873,1852.0
2934,1802.0
2947,1784.0
2988,1965.0
2990,1965.0
3025,1690.0
3046,1053.0
3054,1965.0
3058,1852.0
3059,1852.0
3060,1831.0
3065,1831.0
3074,1453.0
3078,1965.0
3091,1019.0
3121,1591.0
3127,1334.0
3160,1240.0
3179,1053.0
3222,1583.0
3223,1965.0
3239,1289.0
3242,1784.0
3255,1965.0
3267,1802.0
3269,1429.0
3316,1965.0
3317,1289.0
3318,1453.0
3324,1852.0
3346,1965.0
3347,1852.0
3360,1289.0
3364,1965.0
3376,1586.0
3390,1289.0
3416,1831.0
3463,1583.0
3479,1943.0
3500,1158.0
3506,1943.0
3519,1925.0
3523,1289.0
3527,1965.0
3528,1757.0
3529,1757.0
3541,1943.0
3549,1429.0
3556,1130.0
3599,1539.0
3600,1965.0
3601,1943.0
3602,1943.0
3604,1943.0
3611,1965.0
3621,1583.0
3629,1539.0
3654,1586.0
3660,1453.0
3675,1784.0
3687,1965.0
3691,1965.0
3713,1539.0
3720,1943.0
3752,1289.0
3758,1284.0
3796,1504.0
3832,1429.0
3856,1585.0
3875,1284.0
3883,1284.0
3923,1453.0
3968,1016.0
3979,1539.0
3984,1016.0
3993,1016.0
3994,1016.0
4012,1284.0
4013,1539.0
4024,1453.0
4033,1429.0
4071,1852.0
4096,1965.0
4125,1020.0
4175,1016.0
4182,1284.0
4202,1284.0
4238,1586.0
4246,1965.0
4266,1508.0
4272,1020.0
4302,1586.0
4335,1453.0
4349,1852.0
4351,1016.0
4352,1016.0
4359,1284.0
4363,1339.0
4367,1753.0
4376,1802.0
4388,1586.0
4400,1583.0
4402,1508.0
4411,1965.0
4422,1753.0
4444,1965.0
4464,1485.0
4487,1852.0
4506,1965.0
4522,1150.0
4530,1965.0
4536,1158.0
4560,1965.0
4656,1053.0
4687,1289.0
4692,1757.0
4717,1965.0
4740,1965.0
4755,1053.0
4756,1020.0
4761,1020.0
4765,1965.0
4784,1965.0
4844,1539.0
4845,1289.0
4847,1240.0
4906,1429.0
4939,1429.0
4962,1284.0
4999,1965.0
5031,1761.0
5086,1016.0
5109,1453.0
5124,1539.0
5165,1539.0
5167,1831.0
5183,1020.0
5187,1284.0
5194,1284.0
5195,1757.0
5210,1289.0
5217,1852.0
5307,1852.0
5347,1289.0
5348,1339.0
5349,1339.0
5382,1784.0
5386,1053.0
5392,1339.0
5417,1240.0
5447,1401.0
5454,1965.0
5456,1965.0
5476,1965.0
5484,1339.0
5491,1390.0
5540,1401.0
5541,1289.0
5542,1339.0
5543,1284.0
5565,1852.0
5566,1016.0
5578,1198.0
5592,1020.0
5599,1207.0
5631,1784.0
5666,1784.0
5667,1490.0
5706,1965.0
5782,1089.0
5839,1053.0
5850,1852.0
5868,1198.0
5883,1586.0
5910,1965.0
5924,1453.0
5933,1539.0
5945,1266.0
5950,1965.0
5991,1240.0
5992,1240.0
5993,1240.0
6014,1083.0
6040,1429.0
6068,1852.0
6091,1539.0
6092,1757.0
6099,1240.0
6124,1429.0
6142,1965.0
6203,1478.0
6208,1016.0
6239,1053.0
6248,1240.0
6270,1284.0
6285,1965.0
6293,1965.0
6295,1339.0
6337,1339.0
6344,1852.0
6349,1016.0
6350,1539.0
6365,1852.0
6381,1053.0
6402,1459.0
6431,1784.0
6464,1485.0
6468,1757.0
6469,1757.0
6514,1016.0
6529,1083.0
6556,1852.0
6563,1852.0
6610,1130.0
6654,1852.0
6655,1852.0
6671,1016.0
6717,1016.0
6736,1016.0
6744,1016.0
6765,1289.0
6774,1852.0
6775,1852.0
6852,1016.0
6904,1284.0
6919,1852.0
6920,1852.0
6921,1852.0
6955,1485.0
6956,1485.0
6994,1965.0
6996,1266.0
7004,1429.0
7024,1761.0
7063,1016.0
7110,1485.0
7136,1600.0
7142,1207.0
7175,1757.0
7212,1955.0
7226,1207.0
7246,1181.0
7266,1284.0
7274,1852.0
7284,1784.0
7303,1016.0
7344,1240.0
7349,1016.0
7350,1339.0
7367,1586.0
7410,1401.0
7437,1289.0
